Name,Nation,Club,Position,Age,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,Sprint,Positioning,Finishing,Long,Volleys,Penalties,Vision,Crossing,Free,Curve,Agility,Balance,Reactions,Composure,Interceptions,Heading,Sliding,Jumping,Stamina,Strength,Aggression,Att work rate,Def work rate,Preferred foot,Weak foot,Skill moves,Gender,GK
Ousmane Dembélé,France,Paris SG,RW,26,86,93,77,81,89,36,57,94,93,80,75,76,76,75,83,86,64,82,90,81,80,81,36,43,33,65,68,52,54,High,Medium,Left,5,5,M,
Bukayo Saka,England,Arsenal,RW,22,86,85,81,79,89,60,70,88,82,82,83,69,79,82,83,83,69,81,85,86,85,80,62,45,60,70,84,63,68,High,Medium,Left,3,3,M,
Jude Bellingham,England,Real Madrid,CM,20,86,76,75,79,86,78,82,77,75,79,77,86,71,57,84,66,49,73,81,79,86,81,82,69,77,79,93,75,85,High,High,Right,4,4,M,
Rafael Leão,Portugal,Milan,LW,24,86,93,80,75,89,27,76,93,93,84,84,63,74,63,75,78,60,80,85,80,84,83,24,65,21,85,77,80,60,Medium,Low,Right,4,4,M,
Pedri,Spain,FC Barcelona,CM,20,86,78,69,82,87,70,74,81,76,79,72,86,56,53,88,68,62,79,88,90,87,87,73,50,65,73,87,73,62,High,High,Right,4,4,M,
Matthijs de Ligt,Holland,FC Bayern München,CB,24,86,66,61,64,65,85,86,62,70,44,50,78,45,40,45,52,55,48,53,62,85,82,82,85,88,88,75,91,86,Medium,High,Right,3,2,M,
Sandro Tonali,Italy,Newcastle Utd,CDM,23,86,84,74,81,78,82,84,81,86,75,69,83,68,64,79,78,81,75,81,83,83,84,84,70,81,84,86,82,84,Medium,High,Right,4,3,M,
Riyad Mahrez,Algeria,Al Ahli,RM,32,86,79,81,81,89,38,60,84,75,84,81,75,76,73,84,80,80,85,91,88,84,81,39,56,22,71,75,57,48,Medium,Medium,Left,4,5,M,
Jamal Musiala,Germany,FC Bayern München,CAM,20,86,85,75,76,94,63,61,84,86,81,79,77,70,55,82,67,51,69,93,92,86,84,65,49,68,65,78,53,59,Medium,Medium,Right,4,5,M,
Nicolò Barella,Italy,Inter,CM,26,86,78,78,82,81,78,80,79,78,83,78,83,80,73,83,79,67,79,90,90,89,86,83,53,81,73,94,73,84,High,High,Right,3,3,M,
Ronald Araujo,Uruguay,FC Barcelona,CB,24,86,79,51,65,55,86,84,71,85,56,56,66,38,43,59,58,45,47,56,55,84,76,85,85,86,90,73,87,87,Medium,High,Right,3,2,M,
Paulo Dybala,Argentina,Roma FC,CF,29,86,80,85,85,90,40,60,84,76,82,83,79,90,87,91,82,88,89,88,90,79,79,42,58,39,73,72,60,43,High,Low,Left,3,4,M,
İlkay Gündoğan,Germany,FC Barcelona,CM,32,86,62,81,84,86,72,73,65,60,84,82,84,75,80,86,77,80,86,77,77,86,87,75,50,67,67,75,73,70,High,Medium,Right,4,4,M,
Sergej Milinković-Savić,Serbia,Al Hilal,CM,28,86,68,80,82,85,79,86,66,70,82,82,86,74,59,83,71,78,81,62,63,84,84,79,86,74,88,91,87,79,High,Medium,Right,5,4,M,
Khvicha Kvaratskhelia,Georgia,Napoli FC,LW,22,86,84,80,81,89,41,71,83,84,84,82,76,64,65,86,78,65,82,85,73,84,82,40,62,34,77,79,70,62,Medium,Medium,Right,5,5,M,
Andrew Robertson,Scotland,Liverpool,LB,29,86,80,61,82,81,81,77,82,78,80,55,76,32,55,82,87,71,82,75,74,85,83,83,67,81,77,95,65,85,High,High,Left,2,3,M,
Parejo,Spain,Villarreal CF,CM,34,86,49,83,90,81,73,69,53,46,81,83,90,72,88,90,86,91,88,62,72,79,85,80,61,71,66,75,70,59,Medium,Medium,Right,4,3,M,
Sadio Mané,Senegal,Al Nassr,CF,31,86,85,83,79,87,44,74,84,85,85,85,71,75,75,83,78,64,77,87,88,88,84,35,79,38,85,79,70,75,Medium,Medium,Right,4,4,M,
Toni Kroos,Germany,Real Madrid,CM,33,86,51,80,90,80,70,71,55,48,74,76,92,82,73,89,88,84,86,63,71,88,88,80,58,60,61,75,72,68,Medium,Medium,Right,5,3,M,
Éder Militão,Brazil,Real Madrid,CB,25,86,85,50,69,70,86,82,82,88,64,48,76,34,60,59,69,40,60,70,62,85,74,86,87,85,92,85,79,84,Medium,High,Right,3,2,M,
Christopher Nkunku,France,Chelsea,CF,25,86,82,81,83,89,62,67,81,82,86,86,80,70,67,84,81,80,82,88,90,85,81,64,61,54,74,78,64,59,Medium,Medium,Right,3,5,M,
N'Golo Kanté,France,Al Ittihad,CDM,32,86,69,65,73,78,85,77,74,64,72,64,74,56,54,77,68,49,49,78,92,89,84,88,54,85,70,84,70,89,Medium,High,Right,3,2,M,
João Cancelo,Portugal,FC Barcelona,LB,29,86,81,73,85,85,80,72,86,77,81,69,79,62,52,85,87,69,87,79,78,84,85,81,72,79,80,88,62,76,High,Low,Right,4,4,M,
Cristiano Ronaldo,Portugal,Al Nassr,ST,38,86,77,88,75,77,34,74,73,80,90,87,70,83,90,76,76,75,79,76,61,87,92,29,87,24,93,77,76,62,High,Low,Right,4,5,M,
Trent Alexander-Arnold,England,Liverpool,RB,25,86,76,69,90,78,80,73,73,79,78,62,91,63,55,90,93,85,87,72,72,84,82,83,69,78,74,89,66,69,High,Medium,Right,4,3,M,
Wojciech Szczęsny,Poland,Juventus,GK,33,86,86,83,73,11,49,86,51,47,14,12,36,14,18,48,12,14,16,55,51,82,65,15,16,12,70,45,65,40,Medium,Medium,Right,3,1,M,87
Jack Grealish,England,Manchester City,LW,28,85,76,76,84,89,53,73,79,74,82,76,81,72,58,87,83,74,83,84,85,84,88,49,48,48,71,83,71,65,High,High,Right,3,4,M,
Marcos Acuña,Argentina,Sevilla FC,LB,31,85,75,74,83,82,81,84,76,75,80,66,77,67,76,82,86,75,88,83,90,84,86,81,61,84,80,91,82,83,High,High,Left,3,3,M,
David Alaba,Austria,Real Madrid,CB,31,85,79,71,83,77,85,77,79,79,73,63,80,67,79,78,83,85,77,76,78,88,85,87,77,83,86,73,78,78,Medium,High,Left,4,3,M,
Iago Aspas,Spain,RC Celta,ST,36,85,81,85,79,87,35,64,78,84,88,90,73,84,82,81,80,83,79,87,72,86,85,39,77,18,79,69,60,63,High,High,Left,4,3,M,
Alessandro Bastoni,Italy,Inter,CB,24,85,73,35,72,73,86,83,68,77,39,26,82,35,47,69,70,36,53,58,57,86,84,87,83,83,86,81,83,83,Medium,High,Left,3,2,M,
Domenico Berardi,Italy,Sassuolo,RW,29,85,82,83,81,86,36,72,82,82,86,85,79,78,76,83,78,75,78,92,87,85,78,25,62,30,75,78,64,85,High,Medium,Left,3,4,M,
Yassine Bounou,Morocco,Al Hilal,GK,32,85,82,83,79,20,38,84,38,37,10,14,44,13,24,62,15,19,12,47,29,81,57,12,14,15,66,43,69,25,Medium,Medium,Left,2,1,M,87
Hakan Çalhanoğlu,Turkey,Inter,CM,29,85,67,80,86,85,70,66,72,62,74,75,87,74,81,88,78,85,85,83,79,86,85,76,53,65,64,80,55,76,High,Medium,Right,4,4,M,
Kingsley Coman,France,FC Bayern München,LM,27,85,89,76,79,88,30,62,92,86,83,75,74,78,65,82,81,70,83,92,84,85,78,23,61,21,79,69,66,38,Medium,Medium,Right,3,5,M,
Giovanni Di Lorenzo,Italy,Napoli FC,RB,30,85,85,67,75,78,82,82,85,85,71,66,74,60,59,66,80,69,69,78,78,84,77,83,76,81,88,90,78,78,High,Medium,Right,3,3,M,
Phil Foden,England,Manchester City,LW,23,85,81,79,82,88,57,60,86,77,83,81,82,59,64,84,78,68,75,91,91,81,81,59,47,47,63,83,47,64,High,High,Left,3,4,M,
Leon Goretzka,Germany,FC Bayern München,CM,28,85,78,81,81,84,80,86,75,80,84,81,83,71,60,82,75,73,76,75,73,85,82,85,86,76,92,83,89,82,High,Medium,Right,4,3,M,
Theo Hernández,France,Milan,LB,26,85,93,71,76,83,78,84,92,94,80,67,68,66,50,73,84,64,69,78,76,85,80,78,74,80,90,90,81,82,High,Medium,Left,3,3,M,
Ciro Immobile,Italy,Latium,ST,33,85,85,87,68,77,39,74,84,86,90,91,57,85,88,71,55,58,70,75,84,85,76,40,81,32,88,73,74,73,High,Medium,Right,4,3,M,
Jules Koundé,France,FC Barcelona,CB,24,85,84,45,68,72,86,80,85,83,47,47,75,32,43,62,62,26,42,71,74,86,82,86,80,84,90,78,80,78,High,High,Right,3,3,M,
Aymeric Laporte,Spain,Al Nassr,CB,29,85,61,50,73,64,86,78,55,65,54,45,81,40,44,68,58,69,61,57,54,86,84,87,84,85,82,67,82,79,Medium,Medium,Left,3,2,M,
Emiliano Martínez,Argentina,Aston Villa,GK,31,85,83,83,82,17,58,84,59,57,12,16,59,13,42,66,22,20,22,49,49,82,62,13,26,20,77,40,70,37,Medium,Medium,Right,4,1,M,85
Keylor Navas,Costa Rica,Paris SG,GK,36,85,84,80,75,24,54,84,54,53,16,15,37,11,25,64,11,15,21,60,61,80,63,22,11,14,73,39,75,32,Medium,Medium,Right,3,1,M,87
André Onana,Cameroon,Manchester Utd,GK,27,85,83,80,88,26,61,84,62,60,11,12,53,13,27,64,15,17,30,66,53,84,64,15,20,14,80,38,79,32,Medium,Medium,Right,3,1,M,85
Thomas Partey,Ghana,Arsenal,CDM,30,85,68,71,82,84,81,82,60,74,70,66,86,56,49,85,74,70,69,63,50,82,87,82,68,79,77,79,84,84,Medium,High,Right,3,3,M,
Marcus Rashford,England,Manchester Utd,LW,25,85,90,86,78,86,42,74,88,91,87,86,72,74,85,79,77,77,84,81,73,86,82,39,76,33,87,76,73,69,High,Low,Right,3,5,M,
Declan Rice,England,Arsenal,CDM,24,85,71,65,75,80,83,83,67,74,58,61,84,50,71,78,55,65,68,55,65,83,83,86,72,82,79,91,79,84,Medium,High,Right,3,2,M,
Antonio Rüdiger,Germany,Real Madrid,CB,30,85,82,54,71,64,84,86,71,91,49,40,82,34,40,61,68,56,50,56,50,83,78,82,81,83,90,70,91,91,High,High,Right,3,2,M,
Rodrygo,Brazil,Real Madrid,RW,22,85,88,81,79,86,31,62,89,88,83,87,73,67,81,82,79,73,80,87,84,84,81,21,67,30,75,81,55,53,Medium,Medium,Right,4,4,M,
John Stones,England,Manchester City,CB,29,85,72,52,75,75,85,77,67,76,52,54,79,44,52,78,63,37,52,66,59,86,87,84,84,84,84,74,77,80,High,Medium,Right,4,3,M,
Diogo Jota,Portugal,Liverpool,CF,26,85,82,82,75,85,57,77,85,80,87,85,72,79,69,78,73,58,77,86,85,88,80,56,86,45,90,79,71,85,High,High,Right,5,4,M,
Kevin Trapp,Germany,Frankfurt,GK,33,85,83,81,77,10,46,85,43,50,12,13,12,12,17,46,13,12,14,42,37,83,64,22,11,10,69,45,75,30,Medium,Medium,Right,4,1,M,86
Kieran Trippier,England,Newcastle Utd,RB,33,85,68,65,86,76,82,72,73,64,77,54,86,58,66,85,92,87,87,66,79,85,84,83,79,81,79,85,64,75,Medium,Medium,Right,4,3,M,
Raphaël Varane,France,Manchester Utd,CB,30,85,79,49,64,61,86,78,75,83,55,46,76,42,43,59,42,52,46,62,39,86,82,85,85,83,90,65,84,78,Medium,High,Right,4,2,M,
Florian Wirtz,Germany,Leverkusen,CAM,20,85,74,76,83,87,52,63,78,70,80,78,81,73,60,88,77,64,80,86,85,85,83,45,39,44,59,83,53,63,High,Medium,Right,4,4,M,
Thiago,Spain,Liverpool,CM,32,84,61,72,86,89,71,67,69,54,72,68,88,81,75,86,78,77,84,90,88,78,88,78,54,72,65,70,60,80,Medium,Medium,Right,3,5,M,
Ismaël Bennacer,Algeria,Milan,CDM,25,84,80,72,81,86,79,78,84,76,75,67,83,64,68,81,74,73,79,87,89,83,84,83,62,80,79,84,71,86,High,Medium,Left,3,4,M,
Julian Brandt,Germany,Borussia Dortmund,CAM,27,84,71,80,84,86,51,70,69,73,81,80,82,79,55,86,82,76,80,84,84,86,84,58,54,56,69,88,71,45,Medium,Medium,Right,4,4,M,
Yannick Carrasco,Belgium,Al Shabab,LM,30,84,88,81,80,88,59,66,87,88,80,81,74,74,79,80,82,80,86,86,70,80,84,57,56,61,74,75,61,65,High,High,Right,4,4,M,
Koen Casteels,Belgium,VfL Wolfsburg,GK,31,84,84,82,77,14,45,85,44,46,15,15,37,13,20,42,15,13,20,50,43,80,40,16,14,17,69,44,72,33,Medium,Medium,Left,2,1,M,86
Federico Chiesa,Italy,Juventus,LM,25,84,91,82,76,89,53,75,91,91,83,81,72,80,62,77,75,62,78,89,81,84,82,54,50,44,75,85,70,74,High,Medium,Right,4,4,M,
Thiago Silva,Brazil,Chelsea,CB,39,84,51,54,74,67,87,74,45,55,59,40,84,61,60,73,60,61,62,62,65,88,86,85,81,84,77,66,78,74,Medium,High,Right,3,2,M,
Rúben Neves,Portugal,Al Hilal,CDM,26,84,60,75,86,74,76,73,64,56,62,66,88,82,77,87,80,81,85,68,72,81,88,80,53,77,65,79,67,82,Medium,High,Right,4,3,M,
Rodrigo Javier De Paul,Argentina,Atlético de Madrid,CM,29,84,78,77,83,82,75,83,80,76,78,76,85,71,66,86,78,76,84,78,78,81,81,79,58,75,79,92,79,82,High,Medium,Right,3,4,M,
Memphis Depay,Holland,Atlético de Madrid,CF,29,84,82,82,81,86,30,80,81,83,85,82,75,75,76,85,84,83,84,81,81,84,79,28,65,20,84,79,84,72,High,Low,Right,3,5,M,
Moussa Diaby,France,Aston Villa,RM,24,84,95,73,75,87,42,59,95,95,79,80,72,67,48,77,76,42,71,92,93,76,75,48,28,46,56,82,44,67,High,Low,Left,3,4,M,
Raphinha,Brazil,FC Barcelona,RW,26,84,91,79,78,87,53,73,90,91,83,78,74,72,78,80,80,79,81,88,79,84,80,55,74,38,83,86,65,76,High,High,Left,4,4,M,
Luis Díaz,Colombia,Liverpool,LW,26,84,91,81,75,89,34,74,92,91,82,81,71,74,63,77,76,58,77,88,75,83,83,25,62,34,80,84,69,70,High,Medium,Right,4,4,M,
Gabriel,Brazil,Arsenal,CB,25,84,70,41,62,52,85,82,61,77,44,37,74,28,40,59,38,27,47,51,37,85,74,86,85,85,86,71,86,85,Medium,High,Left,2,2,M,
Gabriel Jesus,Brazil,Arsenal,ST,26,84,83,82,75,88,40,77,86,81,88,83,66,79,75,79,74,54,76,92,90,88,78,32,78,28,87,82,72,82,High,High,Right,3,4,M,
Matthias Ginter,Germany,SC Freiburg,CB,29,84,60,59,71,61,85,80,54,65,55,55,74,53,67,72,68,42,44,55,49,86,76,86,83,78,83,75,84,74,High,Medium,Right,3,2,M,
Serge Gnabry,Germany,FC Bayern München,RM,28,84,81,84,78,85,43,68,84,79,85,85,73,83,70,80,77,62,74,86,88,82,82,38,42,43,68,75,69,58,Medium,Medium,Right,4,4,M,
Grimaldo,Spain,Leverkusen,LWB,28,84,87,69,83,84,76,72,86,87,77,59,79,61,54,84,83,83,87,84,86,83,83,79,66,76,77,90,63,69,High,Medium,Left,2,3,M,
Bruno Guimarães,Brazil,Newcastle Utd,CM,25,84,71,74,81,85,80,81,69,72,78,72,85,66,65,86,70,62,79,77,83,85,87,84,64,79,76,87,78,84,High,High,Right,2,3,M,
Péter Gulácsi,Hungary,RB Leipzig,GK,33,84,85,84,76,19,43,83,42,44,11,10,31,10,24,44,16,11,18,41,42,80,45,23,23,20,72,37,74,34,Medium,Medium,Right,2,1,M,84
Achraf Hakimi,Morocco,Paris SG,RB,24,84,92,75,80,79,75,78,91,93,78,75,73,74,64,78,84,74,77,83,78,81,80,78,68,76,83,92,72,76,High,Low,Right,4,4,M,
Fabinho,Brazil,Al Ittihad,CDM,29,84,59,69,78,78,82,82,53,64,70,63,82,47,90,76,75,53,71,61,62,82,85,82,75,82,76,85,80,84,Medium,High,Right,2,3,M,
Lucas Hernández,France,Paris SG,CB,27,84,76,54,70,65,84,78,74,78,62,53,63,46,42,63,78,39,59,69,69,84,77,83,82,83,87,69,77,90,Medium,Medium,Left,2,2,M,
Pierre-Emile Højbjerg,Denmark,Spurs,CDM,28,84,55,73,78,79,81,82,56,54,69,68,84,64,56,75,68,74,70,62,65,85,85,83,65,73,72,87,78,88,High,High,Right,4,3,M,
Reece James,England,Chelsea,RB,23,84,80,72,83,83,82,81,78,81,78,69,78,67,62,82,88,76,83,72,88,83,84,79,77,80,89,77,84,77,High,Medium,Right,3,3,M,
Kim Min Jae,Korea Republic,FC Bayern München,CB,26,84,80,33,58,57,85,84,75,84,48,23,69,24,30,57,35,23,36,65,65,82,72,85,79,85,83,77,88,84,Low,High,Right,3,2,M,
Randal Kolo Muani,France,Paris SG,ST,24,84,91,78,73,88,38,67,90,91,85,82,62,80,70,82,64,54,70,84,83,83,86,38,79,32,89,74,74,36,High,Medium,Right,4,4,M,
Kalidou Koulibaly,Senegal,Al Hilal,CB,32,84,76,48,63,70,84,83,65,85,50,43,69,48,50,65,50,39,53,45,33,84,82,83,82,83,82,68,91,84,Medium,High,Right,4,2,M,
Marcos Llorente,Spain,Atlético de Madrid,RM,28,84,89,78,79,80,78,81,87,91,82,79,80,66,65,81,76,63,75,83,68,83,79,81,67,74,84,91,77,80,High,Medium,Right,4,3,M,
Stanislav Lobotka,Slovakia,Napoli FC,CM,28,84,71,70,81,82,77,75,76,67,78,70,85,43,56,85,75,55,75,77,86,84,77,82,45,78,69,85,71,76,Medium,Medium,Right,4,3,M,
Romelu Lukaku,Belgium,Roma FC,ST,30,84,80,84,74,82,38,82,72,86,85,86,70,79,89,75,73,66,78,59,52,82,82,27,83,30,93,64,95,71,Medium,Low,Left,4,3,M,
James Maddison,England,Spurs,CAM,26,84,71,81,86,86,54,63,78,66,84,80,85,77,74,88,83,86,86,84,83,80,88,44,35,42,58,78,53,70,High,Medium,Right,4,4,M,
Gabriel Martinelli,Brazil,Arsenal,LW,22,84,89,78,76,89,46,72,91,88,82,83,65,78,62,79,79,68,74,87,81,82,79,39,72,43,82,82,63,80,High,High,Right,3,4,M,
Lisandro Martínez,Argentina,Manchester Utd,CB,25,84,73,59,78,76,85,83,77,70,62,52,83,56,55,76,75,55,77,77,82,85,87,85,75,84,85,81,80,91,Medium,High,Left,3,3,M,
Mikel Merino,Spain,Real Sociedad,CM,27,84,72,78,82,83,83,82,72,72,81,79,84,58,70,83,77,69,80,74,73,86,80,85,87,76,89,83,80,83,High,High,Left,3,3,M,
Thomas Müller,Germany,FC Bayern München,CAM,34,84,59,82,83,77,55,69,63,56,94,84,79,84,70,87,85,59,81,67,70,93,84,58,79,46,76,80,66,62,High,High,Right,4,3,M,
Nick Pope,England,Newcastle Utd,GK,31,84,82,83,75,15,49,84,50,47,13,14,52,14,22,50,11,12,13,36,42,80,63,23,11,14,71,37,75,36,Medium,Medium,Right,3,1,M,86
Adrien Rabiot,France,Juventus,CM,28,84,78,76,80,80,82,84,76,79,82,72,84,72,69,83,73,59,71,69,69,84,82,82,79,80,88,89,83,81,Medium,Medium,Left,3,3,M,
Aaron Ramsdale,England,Arsenal,GK,25,84,84,79,87,18,48,81,47,50,18,14,57,16,25,65,15,16,17,53,49,83,65,24,15,15,65,35,59,35,Medium,Medium,Right,3,1,M,86
Álex Remiro,Spain,Real Sociedad,GK,28,84,84,78,80,19,42,86,40,46,11,13,29,15,24,35,12,17,14,69,40,79,55,20,13,18,68,42,73,34,Medium,Medium,Right,4,1,M,86
Koke,Spain,Atlético de Madrid,CDM,31,84,69,72,85,77,79,78,70,68,76,69,83,57,67,85,85,77,84,70,81,85,84,82,61,71,74,85,75,79,Medium,Medium,Right,4,3,M,
Luis Alberto,Spain,Latium,CM,31,84,69,77,85,83,62,58,72,67,76,75,88,76,56,91,69,79,86,77,83,79,80,64,49,59,65,68,64,29,Medium,Medium,Right,3,4,M,
Leroy Sané,Germany,FC Bayern München,RM,27,84,91,81,80,86,38,68,88,93,81,80,70,84,65,79,81,83,84,87,81,83,82,34,72,35,82,70,66,65,Medium,Medium,Left,2,4,M,
Bremer,Brazil,Juventus,CB,26,84,80,50,56,62,85,83,77,83,58,49,69,38,43,45,46,24,42,65,67,79,78,84,85,83,92,76,85,82,Medium,High,Right,2,2,M,
Milan Škriniar,Slovakia,Paris SG,CB,28,84,78,41,57,64,86,83,74,81,30,42,73,40,56,46,40,30,34,54,56,84,87,84,78,81,88,80,87,77,Low,High,Right,3,2,M,
Chris Smalling,England,Roma FC,CB,33,84,62,47,58,59,87,82,52,71,51,54,64,49,52,56,52,22,49,54,43,87,88,84,86,85,83,75,85,84,Medium,High,Right,3,2,M,
